epoch,train_loss,valid_loss,accuracy,time
0,0.6834419369697571,0.689672589302063,0.5514018535614014,02:54
1,0.6365621089935303,0.6732344627380371,0.5841121673583984,02:49
2,0.6203011274337769,0.7149664759635925,0.5981308221817017,02:53
3,0.5865646004676819,0.7215878367424011,0.5887850522994995,02:51
4,0.5346724390983582,0.700701892375946,0.6355140209197998,02:54
5,0.4831840693950653,0.856246292591095,0.5981308221817017,02:53
6,0.48243898153305054,0.6061551570892334,0.7196261882781982,02:50
7,0.4455317258834839,0.6082040667533875,0.7056074738502502,02:52
8,0.45690178871154785,0.9224623441696167,0.5934579372406006,02:56
9,0.4341278374195099,0.7367749214172363,0.6962617039680481,02:51
10,0.47150978446006775,0.6050323247909546,0.7663551568984985,02:52
11,0.43696102499961853,0.665037989616394,0.663551390171051,02:50
12,0.36549901962280273,0.6743509769439697,0.7009345889091492,02:50
13,0.3470345139503479,0.8608742356300354,0.65887850522995,02:53
14,0.3180931508541107,0.635603129863739,0.7570093274116516,02:50
15,0.3694223463535309,0.7097606062889099,0.6822429895401001,02:50
16,0.30176013708114624,0.7145622968673706,0.7336448431015015,02:54
17,0.2987487316131592,0.6037209630012512,0.7476635575294495,02:50
18,0.3047018349170685,0.6499320864677429,0.7570093274116516,02:56
19,0.2682447135448456,0.8046370148658752,0.7336448431015015,02:51
20,0.3134707808494568,0.8144182562828064,0.6682242751121521,02:49
21,0.3214876055717468,0.7027396559715271,0.6682242751121521,02:49
22,0.3112492859363556,0.6949513554573059,0.7149532437324524,02:52
23,0.28295978903770447,0.6971482634544373,0.677570104598999,02:50
24,0.2723141610622406,0.9691645503044128,0.65887850522995,02:50
25,0.2922317385673523,0.8282750248908997,0.7196261882781982,02:49
26,0.31283435225486755,0.7731835842132568,0.7149532437324524,02:50
27,0.26532697677612305,0.6697356104850769,0.7242990732192993,02:54
28,0.31986409425735474,0.8187845349311829,0.7009345889091492,02:53
