epoch,train_loss,valid_loss,accuracy,time
0,0.7447203397750854,0.6851480007171631,0.5560747385025024,07:53
1,0.694518506526947,0.6749565005302429,0.5607476830482483,07:49
2,0.6784020066261292,0.6777082085609436,0.5700934529304504,07:50
3,0.668359100818634,0.673688530921936,0.6121495366096497,07:50
4,0.671179473400116,0.676530659198761,0.5981308221817017,07:54
5,0.6591673493385315,0.6848909854888916,0.6121495366096497,07:50
6,0.6491377949714661,0.6661901473999023,0.6168224215507507,07:50
7,0.6516487002372742,0.6457129716873169,0.6168224215507507,07:50
8,0.6416319012641907,0.6987398862838745,0.6261682510375977,07:50
9,0.6431781053543091,0.6285741925239563,0.672897219657898,07:50
10,0.6397629976272583,0.6384869813919067,0.6214953064918518,07:52
11,0.6290831565856934,0.6762902140617371,0.6355140209197998,07:49
12,0.6259225010871887,0.655202329158783,0.663551390171051,07:50
13,0.6347469091415405,0.7039125561714172,0.5934579372406006,07:53
14,0.6294873356819153,0.634646475315094,0.6822429895401001,07:50
15,0.633949875831604,0.6466933488845825,0.663551390171051,07:50
16,0.6260340213775635,0.6720867156982422,0.6214953064918518,07:50
17,0.6143040657043457,0.7325109243392944,0.6401869058609009,07:49
18,0.6278536915779114,0.6294683218002319,0.6495327353477478,07:50
19,0.6182767152786255,0.601649820804596,0.6869158744812012,07:50
20,0.6065665483474731,0.6645340323448181,0.644859790802002,07:49
21,0.5774232745170593,0.7194677591323853,0.672897219657898,07:50
22,0.5655485987663269,0.5984090566635132,0.7196261882781982,07:50
23,0.555823028087616,0.689204216003418,0.6074766516685486,07:51
24,0.5451521873474121,0.7062273621559143,0.65887850522995,07:50
25,0.523033082485199,0.5978643894195557,0.7196261882781982,07:49
26,0.5245637893676758,0.5308043360710144,0.7757009267807007,07:50
27,0.5064571499824524,0.5426424741744995,0.7570093274116516,07:50
28,0.520636260509491,0.5010127425193787,0.8037382960319519,07:50
29,0.4862176775932312,0.5938634276390076,0.7196261882781982,07:50
30,0.49770182371139526,0.5241926312446594,0.7663551568984985,07:50
31,0.480776846408844,0.542183518409729,0.7897196412086487,07:50
32,0.4819711744785309,0.6116682887077332,0.7242990732192993,07:51
33,0.48223739862442017,0.5690979957580566,0.7850467562675476,07:50
34,0.46635133028030396,0.48126834630966187,0.8177570104598999,07:51
35,0.45145440101623535,0.47813284397125244,0.827102780342102,07:50
36,0.45426979660987854,0.5007127523422241,0.7990654110908508,07:50
37,0.436273455619812,0.46468591690063477,0.822429895401001,07:50
38,0.4302784204483032,0.559702455997467,0.7757009267807007,07:50
39,0.4549878239631653,0.4458209276199341,0.8504672646522522,07:52
40,0.4247646927833557,0.6096343398094177,0.7570093274116516,07:52
41,0.44179391860961914,0.47158196568489075,0.8177570104598999,07:51
42,0.4028073251247406,0.5428211092948914,0.7803738117218018,07:50
43,0.4034980237483978,0.445974737405777,0.855140209197998,07:50
44,0.4045463502407074,0.48680761456489563,0.8037382960319519,07:51
45,0.38009923696517944,0.5012922286987305,0.8037382960319519,07:52
